Date,Open,High,Low,Close,Volume,Adj Close
17/06/2016,96.620003,96.650002,95.300003,95.330002,61008200,94.332041
16/06/2016,96.449997,97.75,96.07,97.550003,31326800,96.528803
15/06/2016,97.82,98.410004,97.029999,97.139999,29445200,96.123091
14/06/2016,97.32,98.480003,96.75,97.459999,31931900,96.439741
13/06/2016,98.690002,99.120003,97.099998,97.339996,38020500,96.320994
10/06/2016,98.529999,99.349998,98.480003,98.830002,31712900,97.795402
09/06/2016,98.5,99.989998,98.459999,99.650002,26601400,98.606817
08/06/2016,99.019997,99.559998,98.68,98.940002,20848100,97.904251
07/06/2016,99.25,99.870003,98.959999,99.029999,22409500,97.993305
06/06/2016,97.989998,101.889999,97.550003,98.629997,23292500,97.597491
03/06/2016,97.790001,98.269997,97.449997,97.919998,28062900,96.894924
02/06/2016,97.599998,97.839996,96.629997,97.720001,40191600,96.697021
01/06/2016,99.019997,99.540001,98.330002,98.459999,29173300,97.429272
31/05/2016,99.599998,100.400002,98.82,99.860001,42307200,98.814618
27/05/2016,99.440002,100.470001,99.25,100.349998,36229500,99.299486
26/05/2016,99.68,100.730003,98.639999,100.410004,56331200,99.358863
25/05/2016,98.669998,99.739998,98.110001,99.620003,38168800,98.577132
24/05/2016,97.220001,98.089996,96.839996,97.900002,35140200,96.875137
23/05/2016,95.870003,97.190002,95.669998,96.43,38018600,95.420524
20/05/2016,94.639999,95.43,94.519997,95.220001,32026000,94.223192
19/05/2016,94.639999,94.639999,93.57,94.199997,30442100,93.213866
18/05/2016,94.160004,95.209999,93.889999,94.559998,42062400,93.570098
17/05/2016,94.550003,94.699997,93.010002,93.489998,46916900,92.511299
16/05/2016,92.389999,94.389999,91.650002,93.879997,61259800,92.897216
13/05/2016,90,91.669998,90,90.519997,44392800,89.57239
12/05/2016,92.720001,92.779999,89.470001,90.339996,76314700,89.394274
11/05/2016,93.480003,93.57,92.459999,92.510002,28719100,91.541563
10/05/2016,93.330002,93.57,92.110001,93.419998,33686800,92.442033
09/05/2016,93,93.769997,92.589996,92.790001,32936400,91.81863
06/05/2016,93.370003,93.449997,91.849998,92.720001,43458200,91.749363
05/05/2016,94,94.07,92.68,93.239998,35890500,92.263917
04/05/2016,95.199997,95.900002,93.82,94.190002,41025500,92.639944
03/05/2016,94.199997,95.739998,93.68,95.18,56831300,93.613649
02/05/2016,93.970001,94.080002,92.400002,93.639999,48160100,92.098992
29/04/2016,93.989998,94.720001,92.510002,93.739998,68531500,92.197345
28/04/2016,97.610001,97.879997,94.25,94.830002,82242700,93.269411
27/04/2016,96,98.709999,95.68,97.82,114602100,96.210203
26/04/2016,103.910004,105.300003,103.910004,104.349998,56016200,102.632739
25/04/2016,105,105.650002,104.510002,105.080002,28031600,103.350729
22/04/2016,105.010002,106.480003,104.620003,105.68,33683100,103.940854
21/04/2016,106.93,106.93,105.519997,105.970001,31552500,104.226082
20/04/2016,106.639999,108.089996,106.059998,107.129997,30611000,105.366989
19/04/2016,107.879997,108,106.230003,106.910004,32384900,105.150615
18/04/2016,108.889999,108.949997,106.940002,107.480003,60834000,105.711235
15/04/2016,112.110001,112.300003,109.730003,109.849998,46939000,108.042227
14/04/2016,111.620003,112.389999,111.330002,112.099998,25473900,110.2552
13/04/2016,110.800003,112.339996,110.800003,112.040001,33257300,110.19619
12/04/2016,109.339996,110.5,108.660004,110.440002,27232300,108.622522
11/04/2016,108.970001,110.610001,108.830002,109.019997,29407500,107.225885
08/04/2016,108.910004,109.769997,108.169998,108.660004,23581700,106.871816
07/04/2016,109.949997,110.419998,108.120003,108.540001,31801900,106.753788
06/04/2016,110.230003,110.980003,109.199997,110.959999,26404100,109.133961
05/04/2016,109.510002,110.730003,109.419998,109.809998,26578700,108.002885
04/04/2016,110.419998,112.190002,110.269997,111.120003,37356200,109.291332
01/04/2016,108.779999,110,108.199997,109.989998,25874000,108.179923
31/03/2016,109.720001,109.900002,108.879997,108.989998,25888400,107.19638
30/03/2016,108.650002,110.419998,108.599998,109.559998,45601100,107.756999
29/03/2016,104.889999,107.790001,104.879997,107.68,31190100,105.90794
28/03/2016,106,106.190002,105.059998,105.190002,19411400,103.45892
24/03/2016,105.470001,106.25,104.889999,105.669998,26133000,103.931016
23/03/2016,106.480003,107.07,105.900002,106.129997,25703500,104.383445
22/03/2016,105.25,107.290001,105.209999,106.720001,32444400,104.96374
21/03/2016,105.93,107.650002,105.139999,105.910004,35502700,104.167072
18/03/2016,106.339996,106.5,105.190002,105.919998,44205200,104.176902
17/03/2016,105.519997,106.470001,104.959999,105.800003,34420700,104.058882
16/03/2016,104.610001,106.309998,104.589996,105.970001,38303500,104.226082
15/03/2016,103.959999,105.18,103.849998,104.580002,40067700,102.858958
14/03/2016,101.910004,102.910004,101.779999,102.519997,25076100,100.832853
11/03/2016,102.239998,102.279999,101.5,102.260002,27408200,100.577138
10/03/2016,101.410004,102.239998,100.150002,101.169998,33513600,99.505072
09/03/2016,101.309998,101.580002,100.269997,101.120003,27201700,99.455899
08/03/2016,100.779999,101.760002,100.400002,101.029999,31561900,99.367376
